name,directed_by,genre,type,id,initial_release_date
Arahan,Ryoo Seung-wan,Action Film|Comedy|Korean drama|East Asian cinema|World cinema,,/en/arahan,4/30/2004
Ararat,Atom Egoyan,LGBT|Political drama|War film|Drama,,/en/ararat,5/20/2002
Are We There Yet,Brian Levant,Family|Adventure Film|Romance Film|Comedy|Drama,,/en/are_we_there_yet,1/21/2005
Arinthum Ariyamalum,Vishnuvardhan,Crime Fiction|Family|Romance Film|Comedy|Tamil cinema|World cinema|Drama,,/en/arinthum_ariyamalum,5/20/2005
Arisan!,Nia Dinata,Comedy|Drama,,/en/arisan,12/10/2003
Arjun,Gunasekhar|J. Hemambar,Action Film|Tollywood|World cinema,,/en/arjun_2004,8/18/2004
Armaan,Honey Irani,Romance Film|Family|Drama,,/en/armaan,5/16/2003
Around the Bend,Jordan Roberts,Family Drama|Comedy-drama|Road movie|Drama,,/en/around_the_bend,10/8/2004
Around the World in 80 Days,Frank Coraci,Adventure Film|Action Film|Family|Western|Romance Film|Comedy,,/en/around_the_world_in_80_days_2004,6/13/2004
Art of the Devil 2,Pasith Buranajan|Seree Phongnithi|Yosapong Polsap|Putipong Saisikaew|Art Thamthrakul|Kongkiat Khomsiri|Isara Nadee,Horror|Slasher|Fantasy|Mystery,,/en/art_of_the_devil_2,12/1/2005
Art School Confidential,Terry Zwigoff,Comedy-drama,,/en/art_school_confidential,
Arul,Hari,Musical|Action Film|Tamil cinema|World cinema|Drama|Musical Drama,,/en/arul,5/1/2004
Aarya,Balasekaran,Romance Film|Drama|Tamil cinema|World cinema,,/en/arya_2007,8/10/2007
Arya,Sukumar,Musical|Romance Film|Romantic comedy|Musical comedy|Comedy|Drama|Musical Drama|World cinema|Tollywood,,/en/arya_2004,5/7/2004
Aryan: Unbreakable,Abhishek Kapoor,Action Film|Drama,,/en/aryan_2006,12/5/2006
As It Is in Heaven,Kay Pollak,Musical|Comedy|Romance Film|Drama|Musical comedy|Musical Drama|World cinema,,/en/as_it_is_in_heaven,8/20/2004
Ashok,Surender Reddy,Action Film|Romance Film|Drama|Tollywood|World cinema,,/en/ashok,7/13/2006
Ask the Dust,Robert Towne,Historical period drama|Film adaptation|Romance Film|Drama,,/en/ask_the_dust_2006,2/2/2006
Ashoka the Great,Santosh Sivan,Action Film|Romance Film|War film|Epic film|Musical|Bollywood|World cinema|Drama|Musical Drama,,/en/asoka,9/13/2001
Assault on Precinct 13,Jean-François Richet,Thriller|Action Film|Remake|Crime Fiction|Drama,,/en/assault_on_precinct_13_2005,1/19/2005
Astitva,Mahesh Manjrekar,Art film|Bollywood|World cinema|Drama,,/en/astitva,10/6/2000
Asylum,David Mackenzie,Film adaptation|Romance Film|Thriller|Drama,,/en/asylum_2005,8/12/2005
Atanarjuat: The Fast Runner,Zacharias Kunuk,Fantasy|Drama,,/en/atanarjuat,5/13/2001
Athadu,Trivikram Srinivas,Action Film|Thriller|Musical|Romance Film|Tollywood|World cinema,,/en/athadu,8/10/2005
ATL,Chris Robinson,Coming of age|Comedy|Drama,,/en/atl_2006,3/28/2006
Atlantis: The Lost Empire,Gary Trousdale|Kirk Wise,Adventure Film|Science Fiction|Family|Animation,,/en/atlantis_the_lost_empire,6/3/2001
Atonement,Joe Wright,Romance Film|War film|Mystery|Drama|Music,,/en/atonement_2007,8/28/2007
Attahasam,Saran,Action Film|Thriller|Tamil cinema|World cinema|Drama,,/en/attagasam,11/12/2004
Attila,Dick Lowry,Adventure Film|History|Action Film|War film|Historical fiction|Biographical film,,/en/attila_2001,
Austin Powers: Goldmember,Jay Roach,Action Film|Crime Fiction|Comedy,,/en/austin_powers_goldmember,7/22/2002
Australian Rules,Paul Goldman,Drama,,/en/australian_rules,
Oram Po,Pushkar|Gayatri,Action Film|Comedy|Tamil cinema|World cinema|Drama,,/en/auto,2/16/2007
Auto Focus,Paul Schrader|Larry Karaszewski,Biographical film|Indie film|Crime Fiction|Drama,,/en/auto_focus,9/8/2002
Autograph,Cheran,Musical|Romance Film|Drama|Musical Drama|Tamil cinema|World cinema,,/en/autograph_2004,2/14/2004
Avalon,Mamoru Oshii,Science Fiction|Thriller|Action Film|Adventure Film|Fantasy|Drama,,/en/avalon_2001,1/20/2001
Avatar,James Cameron,Science Fiction|Adventure Film|Fantasy|Action Film,,/en/avatar_2009,12/10/2009
Avenging Angelo,Martyn Burke,Action Film|Romance Film|Crime Fiction|Action/Adventure|Thriller|Romantic comedy|Crime Comedy|Gangster Film|Comedy,,/en/avenging_angelo,8/30/2002
Awake,Joby Harold,Thriller|Crime Fiction|Mystery,,/en/awake_2007,11/30/2007
Awara Paagal Deewana,Vikram Bhatt,Action Film|World cinema|Musical|Crime Fiction|Musical comedy|Comedy|Bollywood|Drama|Musical Drama,,/en/awara_paagal_deewana,6/20/2002
Awesome; I Fuckin' Shot That!,Adam Yauch,Concert film|Rockumentary|Hip hop film|Documentary film|Indie film,,/en/awesome_i_fuckin_shot_that,1/6/2006
Azumi,Ryuhei Kitamura,Action Film|Epic film|Adventure Film|Fantasy|Thriller,,/en/azumi,5/10/2003
Æon Flux,Karyn Kusama,Science Fiction|Dystopia|Action Film|Thriller|Adventure Film,,/wikipedia/en_title/$00C6on_Flux_$0028film$0029,12/1/2005
Baabul,Ravi Chopra,Musical|Family|Romance Film|Bollywood|World cinema|Drama|Musical Drama,,/en/baabul,12/8/2006
BaadAsssss Cinema,Isaac Julien,Indie film|Documentary film|Blaxploitation film|Action/Adventure|Film &amp; Television History|Biographical film,,/en/baadasssss_cinema,8/14/2002
Baadasssss!,Mario Van Peebles,Indie film|Biographical film|Docudrama|Historical period drama|Drama,,/en/baadasssss,9/7/2003
Babel,Alejandro González Iñárritu,Indie film|Political drama|Drama,,/en/babel_2006,5/23/2006
Baby Boy,John Singleton,Coming of age|Crime Fiction|Drama,,/en/baby_boy,6/21/2001
Back by Midnight,Harry Basil,Prison film|Comedy,,/en/back_by_midnight,1/25/2005
Back to School with Franklin,Arna Selznick,Family|Animation|Educational film,,/en/back_to_school_with_franklin,8/19/2003
Bad Boys II,Michael Bay,Action Film|Crime Fiction|Thriller|Comedy,,/en/bad_boys_ii,7/9/2003
Bad Company,Joel Schumacher,Spy film|Action/Adventure|Action Film|Thriller|Comedy,,/wikipedia/ru_id/1598664,4/26/2002
Bad Education,Pedro Almodóvar,Mystery|Drama,,/en/bad_education,3/19/2004
Bad Eggs,Tony Martin,Comedy,,/en/bad_eggs,
Bad News Bears,Richard Linklater,Family|Sports|Comedy,,/en/bad_news_bears,7/22/2005
Bad Santa,Terry Zwigoff,Black comedy|Crime Fiction|Comedy,,/en/bad_santa,11/26/2003
Badal,Raj Kanwar,Musical|Romance Film|Crime Fiction|Drama|Musical Drama,,/en/badal,2/11/2000
Baghdad ER,Jon Alpert|Matthew O'Neill,Documentary film|Culture &amp; Society|War film|Biographical film,,/en/baghdad_er,8/29/2006
Baise Moi,Virginie Despentes|Coralie Trinh Thi,Erotica|Thriller|Erotic thriller|Art film|Romance Film|Drama|Road movie,,/en/baise_moi,6/28/2000
Bait,Antoine Fuqua,Thriller|Crime Fiction|Adventure Film|Action Film|Action/Adventure|Crime Thriller|Comedy|Drama,,/en/bait_2000,9/15/2000
Bala,Deepak,Drama|Tamil cinema|World cinema,,/en/bala_2002,12/13/2002
Ballistic: Ecks vs. Sever,Wych Kaosayananda,Spy film|Thriller|Action Film|Suspense|Action/Adventure|Action Thriller|Glamorized Spy Film,,/en/ballistic_ecks_vs_sever,9/20/2002
Balu ABCDEFG,A. Karunakaran,Romance Film|Tollywood|World cinema|Drama,,/en/balu_abcdefg,1/6/2005
The Little Chinese Seamstress,Dai Sijie,Romance Film|Comedy-drama|Biographical film|Drama,,/en/balzac_and_the_little_chinese_seamstress_2002,5/16/2002
Bambi II,Brian Pimental,Animation|Family|Adventure Film|Coming of age|Children's/Family|Family-Oriented Adventure,,/en/bambi_ii,1/26/2006
Bamboozled,Spike Lee,Satire|Indie film|Music|Black comedy|Comedy-drama|Media Satire|Comedy|Drama,,/en/bamboozled,10/6/2000
Bandidas,Espen Sandberg|Joachim Rønning,Western|Action Film|Crime Fiction|Buddy film|Comedy|Adventure Film,,/en/bandidas,1/18/2006
Bandits,Barry Levinson,Romantic comedy|Crime Fiction|Buddy film|Romance Film|Heist film|Comedy|Drama,,/en/bandits,10/12/2001
Bangaram,Dharani,Action Film|Crime Fiction|Drama,,/en/bangaram,5/3/2006
Bangkok Loco,Pornchai Hongrattanaporn,Musical|Musical comedy|Comedy,,/en/bangkok_loco,10/7/2004
Baran,Majid Majidi,Romance Film|Adventure Film|World cinema|Drama,,/en/baran,1/31/2001
Barbershop,Tim Story,Ensemble Film|Workplace Comedy|Comedy,,/en/barbershop,8/7/2002
Bareback Mountain,Afton Nills,Pornographic film|Gay pornography,,/en/bareback_mountain,
Barnyard,Steve Oedekerk,Family|Animation|Comedy,,/wikipedia/pt/Barnyard,8/4/2006
Barricade,Timo Rose,Slasher|Horror,,/en/barricade_2007,
Bas Itna Sa Khwaab Hai,Goldie Behl,Romance Film|Bollywood|World cinema,,/en/bas_itna_sa_khwaab_hai,7/6/2001
Basic,John McTiernan,Thriller|Action Film|Mystery,,/en/basic_2003,3/28/2003
Basic emotions,Thomas Moon|Julie Pham|Georgia Lee,Drama,,/en/basic_emotions,9/9/2004
Basic Instinct 2,Michael Caton-Jones,Thriller|Erotic thriller|Psychological thriller|Mystery|Crime Fiction|Horror,,/en/basic_instinct_2,3/31/2006
Battle In Heaven,Carlos Reygadas,Drama,,/en/batalla_en_el_cielo,5/15/2005
Batman Begins,Christopher Nolan,Action Film|Crime Fiction|Adventure Film|Film noir|Drama,,/en/batman_begins,6/10/2005
Batman Beyond: Return of the Joker,Curt Geda,Science Fiction|Animation|Superhero movie|Action Film,,/en/batman_beyond_return_of_the_joker,12/12/2000
Batman: Dead End,Sandy Collora,Indie film|Short Film|Fan film,,/en/batman_dead_end,7/19/2003
Batman: Mystery of the Batwoman,Curt Geda|Tim Maltby,Animated cartoon|Animation|Family|Superhero movie|Action/Adventure|Fantasy|Short Film|Fantasy Adventure,,/en/batman_mystery_of_the_batwoman,10/21/2003
Battle Royale II: Requiem,Kenta Fukasaku|Kinji Fukasaku,Thriller|Action Film|Science Fiction|Drama,,/en/batoru_rowaiaru_ii_chinkonka,7/5/2003
Battlefield Baseball,Yūdai Yamaguchi,Martial Arts Film|Horror|World cinema|Sports|Musical comedy|Japanese Movies|Horror comedy|Comedy,,/en/battlefield_baseball,7/19/2003
BBS: The Documentary,Jason Scott Sadofsky,Documentary film,,/en/bbs_the_documentary,
Be Cool,F. Gary Gray,Crime Fiction|Crime Comedy|Comedy,,/en/be_cool,3/4/2005
Be Kind Rewind,Michel Gondry,Farce|Comedy of Errors|Comedy|Drama,,/en/be_kind_rewind,1/20/2008
Be with Me,Eric Khoo,Indie film|LGBT|World cinema|Art film|Romance Film|Drama,,/en/be_with_me,5/12/2005
Beah: A Black Woman Speaks,Lisa Gay Hamilton,Documentary film|History|Biographical film,,/en/beah_a_black_woman_speaks,8/22/2003
Beastly Boyz,David DeCoteau,LGBT|Horror|B movie|Teen film,,/en/beastly_boyz,
Beauty Shop,Bille Woodruff,Comedy,,/en/beauty_shop,3/24/2005
Bedazzled,Harold Ramis,Romantic comedy|Fantasy|Black comedy|Romance Film|Comedy,,/en/bedazzled_2000,10/19/2000
Bee Movie,Steve Hickner|Simon J. Smith,Family|Adventure Film|Animation|Comedy,,/en/bee_movie,10/28/2007
Bee Season,David Siegel|Scott McGehee,Film adaptation|Coming of age|Family Drama|Drama,,/en/bee_season_2005,11/11/2005
Artie Lange's Beer League,Frank Sebastiano,Sports|Indie film|Comedy,,/en/beer_league,9/15/2006
Beer: The Movie,Peter Hoare,Indie film|Cult film|Parody|Bloopers &amp; Candid Camera|Comedy,,/en/beer_the_movie,5/16/2006
Beerfest,Jay Chandrasekhar,Absurdism|Comedy,,/en/beerfest,8/25/2006
Before Night Falls,Julian Schnabel,LGBT|Gay Themed|Political drama|Gay|Gay Interest|Biographical film|Drama,,/en/before_night_falls_2001,9/3/2000
Before Sunset,Richard Linklater,Romance Film|Indie film|Comedy|Drama,,/en/before_sunset,2/10/2004
Behind Enemy Lines,John Moore,Thriller|Action Film|War film|Action/Adventure|Drama,,/en/behind_enemy_lines,11/17/2001
Behind the Mask,Shannon Keith,Documentary film|Indie film|Political cinema|Crime Fiction,,/en/behind_the_mask_2006,3/21/2006
Behind the Sun,Walter Salles,Drama,,/en/behind_the_sun_2001,9/6/2001
Being Cyrus,Homi Adajania,Thriller|Black comedy|Mystery|Psychological thriller|Crime Fiction|Drama,,/en/being_cyrus,11/8/2005
Being Julia,István Szabó,Romance Film|Romantic comedy|Comedy-drama|Comedy|Drama,,/en/being_julia,9/3/2004
Bekhal's Tears,Lauand Omar,Drama,,/en/bekhals_tears,
Believe in Me,Robert Collector,Sports|Family Drama|Family|Drama,,/en/believe_in_me,
Belly of the Beast,Ching Siu-tung,Action Film|Thriller|Political thriller|Martial Arts Film|Action/Adventure|Crime Thriller|Action Thriller|Chinese Movies,,/en/belly_of_the_beast,12/30/2003
Bellyful,Melvin Van Peebles,Indie film|Satire|Comedy,,/en/bellyful,6/28/2000
Bend It Like Beckham,Gurinder Chadha,Coming of age|Indie film|Teen film|Sports|Romance Film|Comedy-drama|Comedy|Drama,,/en/bend_it_like_beckham,4/11/2002
Don't Tempt Me,Agustín Díaz Yanes,Religious Film|Fantasy|Comedy,,/en/bendito_infierno,11/28/2001
Beneath,Dagen Merrill,Horror|Psychological thriller|Thriller|Supernatural|Crime Thriller,,/en/beneath,8/7/2007
Beneath Clouds,Ivan Sen,Indie film|Romance Film|Road movie|Social problem film|Drama,,/en/beneath_clouds,2/8/2002
Beowulf,Robert Zemeckis,Adventure Film|Computer Animation|Fantasy|Action Film|Animation,,/en/beowulf_2007,11/5/2007
Beowulf &amp; Grendel,Sturla Gunnarsson,Adventure Film|Action Film|Fantasy|Action/Adventure|Film adaptation|World cinema|Historical period drama|Mythological Fantasy|Drama,,/en/beowulf_grendel,9/14/2005
Best in Show,Christopher Guest,Comedy,,/en/best_in_show,9/8/2000
"The Best of The Bloodiest Brawls, Vol. 1",,Sports,,/en/the_best_of_the_bloodiest_brawls_vol_1,3/14/2006
Better Luck Tomorrow,Justin Lin,Coming of age|Teen film|Crime Fiction|Crime Drama|Drama,,/en/better_luck_tomorrow,4/11/2003
Bettie Page: Dark Angel,Nico B.,Biographical film|Drama,,/en/bettie_page_dark_angel,2/11/2004
Bewitched,Nora Ephron,Romantic comedy|Fantasy|Romance Film|Comedy,,/en/bewitched_2005,6/24/2005
Beyond Borders,Martin Campbell,Adventure Film|Historical period drama|Romance Film|War film|Drama,,/en/beyond_borders,10/24/2003
Beyond Re-Animator,Brian Yuzna,Horror|Science Fiction|Comedy,,/en/beyond_re-animator,4/4/2003
Beyond the Sea,Kevin Spacey,Musical|Music|Biographical film|Drama|Musical Drama,,/en/beyond_the_sea,9/11/2004
Bhadra,Boyapati Srinu,Action Film|Tollywood|World cinema|Drama,,/en/bhadra_2005,5/12/2005
Bhageeratha,Rasool Ellore,Drama|Tollywood|World cinema,,/en/bhageeradha,10/13/2005
Bheemaa,N. Lingusamy,Action Film|Tamil cinema|World cinema,,/en/bheema,1/14/2008
Bhoot,Ram Gopal Varma,Horror|Thriller|Bollywood|World cinema,,/en/bhoot,5/17/2003
Bichhoo,Guddu Dhanoa,Thriller|Action Film|Crime Fiction|Bollywood|World cinema|Drama,,/en/bichhoo,7/7/2000
Big Eden,Thomas Bezucha,LGBT|Indie film|Romance Film|Comedy-drama|Gay|Gay Interest|Gay Themed|Romantic comedy|Drama,,/en/big_eden,4/18/2000
Big Fat Liar,Shawn Levy,Family|Adventure Film|Comedy,,/en/big_fat_liar,2/2/2002
Big Fish,Tim Burton,Fantasy|Adventure Film|War film|Comedy-drama|Film adaptation|Family Drama|Fantasy Comedy|Comedy|Drama,,/en/big_fish,12/10/2003
Big Girls Don't Cry,Maria von Heland,World cinema|Melodrama|Teen film|Drama,,/en/big_girls_dont_cry_2002,10/24/2002
"Big Man, Little Love",Handan İpekçi,Drama,,/en/big_man_little_love,10/19/2001
Big Momma's House,Raja Gosnell,Action Film|Crime Fiction|Comedy,,/en/big_mommas_house,5/31/2000
Big Momma's House 2,John Whitesell,Crime Fiction|Slapstick|Action Film|Action/Adventure|Thriller|Farce|Comedy,,/en/big_mommas_house_2,1/26/2006
"Big Toys, No Boys 2",Tristán,Pornographic film,,/en/big_toys_no_boys_2,
Big Trouble,Barry Sonnenfeld,Crime Fiction|Black comedy|Action Film|Action/Adventure|Gangster Film|Comedy,,/en/big_trouble_2002,4/5/2002
Bigger Than the Sky,Al Corley,Romantic comedy|Romance Film|Comedy-drama|Comedy|Drama,,/en/bigger_than_the_sky,2/18/2005
Biggie &amp; Tupac,Nick Broomfield,Documentary film|Hip hop film|Rockumentary|Indie film|Crime Fiction|True crime|Biographical film,,/en/biggie_tupac,1/11/2002
Meet Bill,Bernie Goldmann|Melisa Wallick,Romantic comedy|Romance Film|Comedy|Drama,,/en/bill_2007,9/8/2007
Billy Elliot,Stephen Daldry,Comedy|Music|Drama,,/en/billy_elliot,5/19/2000
Bionicle 3: Web of Shadows,David Molina|Terry Shakespeare,Fantasy|Adventure Film|Animation|Family|Computer Animation|Science Fiction,,/en/bionicle_3_web_of_shadows,10/11/2005
Bionicle 2: Legends of Metru Nui,David Molina|Terry Shakespeare,Fantasy|Adventure Film|Animation|Family|Computer Animation|Science Fiction|Children's Fantasy|Children's/Family|Fantasy Adventure,,/en/bionicle_2_legends_of_metru_nui,10/19/2004
Bionicle: Mask of Light: The Movie,David Molina|Terry Shakespeare,Family|Fantasy|Animation|Adventure Film|Computer Animation|Science Fiction|Children's Fantasy|Children's/Family|Fantasy Adventure,,/en/bionicle_mask_of_light,9/16/2003
Birth,Jonathan Glazer,Mystery|Indie film|Romance Film|Thriller|Drama,,/en/birth_2004,9/8/2004
Birthday Girl,Jez Butterworth,Black comedy|Thriller|Indie film|Erotic thriller|Crime Fiction|Romance Film|Comedy|Drama,,/en/birthday_girl,2/1/2002
"Bite Me, Fanboy",Mat Nastos,Comedy,,/en/bite_me_fanboy,6/1/2005
Bitter Jester,Maija DiGiorgio,Indie film|Documentary film|Stand-up comedy|Culture &amp; Society|Comedy|Biographical film,,/en/bitter_jester,2/26/2003
Black,Sanjay Leela Bhansali,Family|Drama,,/en/black_2005,2/4/2005
Black and White,Craig Lahiff,Trial drama|Crime Fiction|World cinema|Drama,,/en/black_and_white_2002,10/31/2002
Black Book,Paul Verhoeven,Thriller|War film|Drama,,/en/black_book_2006,9/1/2006
Black Christmas,Glen Morgan,Slasher|Teen film|Horror|Thriller,,/wikipedia/fr/Black_Christmas_$0028film$002C_2006$0029,12/15/2006
Black Cloud,Ricky Schroder,Indie film|Sports|Drama,,/en/black_cloud,4/30/2004
Black Friday,Anurag Kashyap,Crime Fiction|Historical drama|Drama,,/en/black_friday_1993,5/20/2004
Black Hawk Down,Ridley Scott,War film|Action/Adventure|Action Film|History|Combat Films|Drama,,/en/black_hawk_down,12/18/2001
The Black Hole,Tibor Takács,Science Fiction|Thriller|Television film,,/en/black_hole_2006,6/10/2006
Black Knight,Gil Junger,Time travel|Adventure Film|Costume drama|Science Fiction|Fantasy|Adventure Comedy|Fantasy Comedy|Comedy,,/en/black_knight_2001,11/15/2001
Blackball,Mel Smith,Sports|Family Drama|Comedy|Drama,,/en/blackball_2005,2/11/2005
Blackwoods,Uwe Boll,Thriller|Crime Thriller|Psychological thriller|Drama,,/en/blackwoods,
Blade II,Guillermo del Toro,Thriller|Horror|Science Fiction|Action Film,,/en/blade_ii,3/21/2002
Blade: Trinity,David S. Goyer,Thriller|Action Film|Horror|Action/Adventure|Superhero movie|Fantasy|Adventure Film|Action Thriller,,/en/blade_trinity,12/7/2004
Bleach: Memories of Nobody,Noriyuki Abe,Anime|Fantasy|Animation|Action Film|Adventure Film,,/en/bleach_memories_of_nobody,12/16/2006
Bless the Child,Chuck Russell,Horror|Crime Fiction|Drama|Thriller,,/en/bless_the_child,8/11/2000
Blind Shaft,Li Yang,Crime Fiction|Drama,,/en/blind_shaft,2/12/2003
Blissfully Yours,Apichatpong Weerasethakul,Erotica|Romance Film|World cinema|Drama,,/en/blissfully_yours,5/17/2002
Blood of a Champion,Lawrence Page,Crime Fiction|Sports|Drama,,/en/blood_of_a_champion,3/7/2006
Blood Rain,Kim Dae-seung,Thriller|Mystery|East Asian cinema|World cinema,,/en/blood_rain,5/4/2005
Blood Work,Clint Eastwood,Mystery|Crime Thriller|Thriller|Suspense|Crime Fiction|Detective fiction|Drama,,/en/blood_work,8/9/2002
BloodRayne,Uwe Boll,Horror|Action Film|Fantasy|Adventure Film|Costume drama,,/en/bloodrayne_2006,10/23/2005
Bloodsport - ECW's Most Violent Matches,,Documentary film|Sports,,/en/bloodsport_ecws_most_violent_matches,2/7/2006
Bloody Sunday,Paul Greengrass,Political drama|Docudrama|Historical fiction|War film|Drama,,/en/bloody_sunday,1/16/2002
Blow,Ted Demme,Biographical film|Crime Fiction|Film adaptation|Historical period drama|Drama,,/en/blow,3/29/2001
Blue Car,Karen Moncrieff,Indie film|Family Drama|Coming of age|Drama,,/en/blue_car,5/2/2003
Blue Collar Comedy Tour Rides Again,C. B. Harding,Documentary film|Stand-up comedy|Comedy,,/en/blue_collar_comedy_tour_rides_again,12/5/2004
Blue Collar Comedy Tour: One for the Road,C. B. Harding,Stand-up comedy|Concert film|Comedy,,/en/blue_collar_comedy_tour_one_for_the_road,6/27/2006
Blue Collar Comedy Tour: The Movie,C. B. Harding,Stand-up comedy|Documentary film|Comedy,,/en/blue_collar_comedy_tour_the_movie,3/28/2003
Blue Crush,John Stockwell,Teen film|Romance Film|Sports|Drama,,/en/blue_crush,8/8/2002
Blue Gate Crossing,Yee Chin-yen,Romance Film|Drama,,/en/blue_gate_crossing,9/8/2002
Blue Milk,William Grammer,Indie film|Short Film|Fan film,,/en/blue_milk,6/20/2006
Blue State,Marshall Lewy,Indie film|Romance Film|Political cinema|Romantic comedy|Political satire|Road movie|Comedy,,/en/blue_state,
Blueberry,Jan Kounen,Western|Thriller|Action Film|Adventure Film,,/en/blueberry_2004,2/11/2004
Blueprint,Rolf Schübel,Science Fiction|Drama,,/en/blueprint_2003,12/8/2003
Bluffmaster!,Rohan Sippy,Romance Film|Musical|Crime Fiction|Romantic comedy|Musical comedy|Comedy|Bollywood|World cinema|Drama|Musical Drama,,/en/bluffmaster,12/16/2005
Boa vs. Python,David Flores,Horror|Natural horror film|Monster|Science Fiction|Creature Film,,/en/boa_vs_python,5/24/2004
Bobby,Emilio Estevez,Political drama|Historical period drama|History|Drama,,/en/bobby,9/5/2006
Boiler Room,Ben Younger,Crime Fiction|Drama,,/en/boiler_room,1/30/2000
Bolletjes Blues,Brigit Hillenius|Karin Junger,Musical,,/en/bolletjes_blues,3/23/2006
Bollywood/Hollywood,Deepa Mehta,Bollywood|Musical|Romance Film|Romantic comedy|Musical comedy|Comedy,,/en/bollywood_hollywood,10/25/2002
Bomb the System,Adam Bhala Lough,Crime Fiction|Indie film|Coming of age|Drama,,/en/bomb_the_system,
Bommarillu,Bhaskar,Musical|Romance Film|Drama|Musical Drama|Tollywood|World cinema,,/en/bommarillu,8/9/2006
"Bon Cop, Bad Cop",Eric Canuel,Crime Fiction|Buddy film|Action Film|Action/Adventure|Thriller|Comedy,,/en/bon_cop_bad_cop,
Bones,Ernest R. Dickerson,Horror|Blaxploitation film|Action Film,,/en/bones_2001,10/26/2001
Bonjour Monsieur Shlomi,Shemi Zarhin,World cinema|Family Drama|Comedy-drama|Coming of age|Family|Comedy|Drama,,/en/bonjour_monsieur_shlomi,4/3/2003
Boogeyman,Stephen T. Kay,Horror|Supernatural|Teen film|Thriller|Mystery|Drama,,/en/boogeyman,2/4/2005
Boogiepop and Others,Ryu Kaneda,Animation|Fantasy|Anime|Thriller|Japanese Movies,,/en/boogiepop_and_others_2000,3/11/2000
Book of Love,Alan Brown,Indie film|Romance Film|Comedy|Drama,,/en/book_of_love_2004,1/18/2004
Book of Shadows: Blair Witch 2,Joe Berlinger,Horror|Supernatural|Mystery|Psychological thriller|Slasher|Thriller|Ensemble Film|Crime Fiction,,/en/book_of_shadows_blair_witch_2,10/27/2000
Bimmer,Pyotr Buslov,Crime Fiction|Drama,,/en/boomer,8/2/2003
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,Comedy,,/wikipedia/de_id/1782985,8/4/2006
Born into Brothels: Calcutta's Red Light Kids,Zana Briski|Ross Kauffman,Documentary film,,/en/born_into_brothels_calcuttas_red_light_kids,1/17/2004
Free Radicals,Barbara Albert,World cinema|Romance Film|Art film|Drama,,/en/free_radicals,
Boss,V.N. Aditya,Musical|Romance Film|Drama|Musical Drama|Tollywood|World cinema,,/en/boss_2006,9/27/2006
Boss'n Up,Dylan C. Brown,Musical|Indie film|Crime Fiction|Musical Drama|Drama,,/en/bossn_up,6/1/2005
Bossa Nova,Bruno Barreto,Romance Film|Comedy|Drama,,/en/bossa_nova_2000,2/18/2000
Bosta,Philippe Aractingi,Musical,,/en/bosta,
Bowling for Columbine,Michael Moore,Indie film|Documentary film|Political cinema|Historical Documentaries,,/en/bowling_for_columbine,5/15/2002
Bowling Fun And Fundamentals For Boys And Girls,,Documentary film|Sports,,/en/bowling_fun_and_fundamentals_for_boys_and_girls,
Boy Eats Girl,Stephen Bradley,Indie film|Horror|Teen film|Creature Film|Zombie Film|Horror comedy|Comedy,,/en/boy_eats_girl,4/6/2005
Boynton Beach Club,Susan Seidelman,Romantic comedy|Indie film|Romance Film|Comedy-drama|Slice of life|Ensemble Film|Comedy,,/en/boynton_beach_club,8/4/2006
Boys,S. Shankar,Musical|Romance Film|Comedy|Tamil cinema|World cinema|Drama|Musical comedy|Musical Drama,,/en/boys_2003,8/29/2003
Brain Blockers,Lincoln Kupchak,Horror|Zombie Film|Horror comedy|Comedy,,/en/brain_blockers,3/15/2007
Breakin' All the Rules,Daniel Taplitz,Romance Film|Romantic comedy|Comedy of Errors|Comedy,,/en/breakin_all_the_rules,5/14/2004
Breaking and Entering,Anthony Minghella,Romance Film|Crime Fiction|Drama,,/en/breaking_and_entering,9/13/2006
Brick,Rian Johnson,Film noir|Indie film|Teen film|Neo-noir|Mystery|Crime Thriller|Crime Fiction|Thriller|Detective fiction|Drama,,/en/brick_2006,4/7/2006
Bride and Prejudice,Gurinder Chadha,Musical|Romantic comedy|Romance Film|Film adaptation|Comedy of manners|Musical Drama|Musical comedy|Comedy|Drama,,/en/bride_and_prejudice,10/6/2004
Bridget Jones: The Edge of Reason,Beeban Kidron,Romantic comedy|Romance Film|Comedy,,/en/bridget_jones_the_edge_of_reason,11/8/2004
Bridget Jones's Diary,Sharon Maguire,Romantic comedy|Film adaptation|Romance Film|Comedy of manners|Comedy|Drama,,/en/bridget_joness_diary_2001,4/4/2001
Brigham City,Richard Dutcher,Mystery|Indie film|Crime Fiction|Thriller|Crime Thriller|Drama,,/en/brigham_city_2001,
Bright Young Things,Stephen Fry,Indie film|War film|Comedy-drama|Historical period drama|Comedy of manners|Comedy|Drama,,/en/bright_young_things,10/3/2003
Brilliant,Roger Cardinal,Thriller,,/wikipedia/en_title/Brilliant_$0028film$0029,2/15/2004
Bring It On,Peyton Reed,Comedy|Sports,,/en/bring_it_on,8/22/2000
Bring It On Again,Damon Santostefano,Teen film|Sports|Comedy,,/en/bring_it_on_again,1/13/2004
Bring It On: All or Nothing,Steve Rash,Teen film|Sports|Comedy,,/en/bring_it_on_all_or_nothing,8/8/2006
